Code	Model	Species	Size	River	Model.type	Default	Sampled.season	Valid.season	Data.origin	N.presences	N.absences	N.interviews.or.studies	True.positive	False.positive	True.negative	False.negative	Sensitivity	Specificity	TSS	Balanced.accuracy
ABEIZ	Pseudochondrostoma.polylepis.HSC.Small.EKorL.Spring.Summer.Autumn	Pseudochondrostoma polylepis	Small		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEIY	Pseudochondrostoma.polylepis.HSC.Small.EKorL.Autumn.Winter.Spring	Pseudochondrostoma polylepis	Small		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEIR	Pseudochondrostoma.polylepis.GAM.Large.TRBD.All	Pseudochondrostoma polylepis	Large	Tagus River Basin District	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	140	466	NA	124	155	311	16	0.886	0.667	0.553	0.777
ABEIW	Pseudochondrostoma.polylepis.HSC.Large.TRBD.All	Pseudochondrostoma polylepis	Large	Tagus River Basin District	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	140	466	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEJL	Pseudochondrostoma.polylepis.NNET.Large.TRBD.All	Pseudochondrostoma polylepis	Large	Tagus River Basin District	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	140	466	NA	133	166	300	7	0.95	0.644	0.594	0.797
ABEJO	Pseudochondrostoma.polylepis.RF.Large.TRBD.All	Pseudochondrostoma polylepis	Large	Tagus River Basin District	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	140	466	NA	133	166	300	7	0.95	0.644	0.594	0.797
ABEJR	Pseudochondrostoma.polylepis.SVM.Large.TRBD.All	Pseudochondrostoma polylepis	Large	Tagus River Basin District	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	140	466	NA	111	120	346	29	0.793	0.742	0.535	0.768
ABEIS	Pseudochondrostoma.polylepis.GAM.Medium.TRBD.All	Pseudochondrostoma polylepis	Medium	Tagus River Basin District	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	123	524	NA	107	213	311	16	0.87	0.594	0.463	0.732
ABEIX	Pseudochondrostoma.polylepis.HSC.Medium.TRBD.All	Pseudochondrostoma polylepis	Medium	Tagus River Basin District	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	123	524	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEJM	Pseudochondrostoma.polylepis.NNET.Medium.TRBD.All	Pseudochondrostoma polylepis	Medium	Tagus River Basin District	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	123	524	NA	122	270	254	1	0.992	0.485	0.477	0.738
ABEJP	Pseudochondrostoma.polylepis.RF.Medium.TRBD.All	Pseudochondrostoma polylepis	Medium	Tagus River Basin District	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	123	524	NA	122	270	254	1	0.992	0.485	0.477	0.738
ABEJS	Pseudochondrostoma.polylepis.SVM.Medium.TRBD.All	Pseudochondrostoma polylepis	Medium	Tagus River Basin District	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	123	524	NA	101	172	352	22	0.821	0.672	0.493	0.746
ABEIT	Pseudochondrostoma.polylepis.GAM.Small.TRBD.All	Pseudochondrostoma polylepis	Small	Tagus River Basin District	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	90	423	NA	83	126	297	7	0.922	0.702	0.624	0.812
ABEJK	Pseudochondrostoma.polylepis.HSC.Small.TRBD.All	Pseudochondrostoma polylepis	Small	Tagus River Basin District	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	90	423	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEJN	Pseudochondrostoma.polylepis.NNET.Small.TRBD.All	Pseudochondrostoma polylepis	Small	Tagus River Basin District	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	90	423	NA	86	109	314	4	0.956	0.742	0.698	0.849
ABEJQ	Pseudochondrostoma.polylepis.RF.Small.TRBD.All	Pseudochondrostoma polylepis	Small	Tagus River Basin District	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	90	423	NA	86	109	314	4	0.956	0.742	0.698	0.849
ABEJT	Pseudochondrostoma.polylepis.SVM.Small.TRBD.All	Pseudochondrostoma polylepis	Small	Tagus River Basin District	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	90	423	NA	80	109	314	10	0.889	0.742	0.631	0.816
ABEJV	Pseudochondrostoma.willkommii.FRBS.Large.EKorL.Spring.Summer.Autumn	Pseudochondrostoma willkommii	Large		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEJU	Pseudochondrostoma.willkommii.FRBS.Large.EKorL.Autumn.Winter.Spring	Pseudochondrostoma willkommii	Large		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEJZ	Pseudochondrostoma.willkommii.HSC.Large.EKorL.Spring.Summer.Autumn	Pseudochondrostoma willkommii	Large		HSC	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEJY	Pseudochondrostoma.willkommii.HSC.Large.EKorL.Autumn.Winter.Spring	Pseudochondrostoma willkommii	Large		HSC	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEJX	Pseudochondrostoma.willkommii.FRBS.Small.EKorL.Spring.Summer.Autumn	Pseudochondrostoma willkommii	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEJW	Pseudochondrostoma.willkommii.FRBS.Small.EKorL.Autumn.Winter.Spring	Pseudochondrostoma willkommii	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEKM	Pseudochondrostoma.willkommii.HSC.Small.EKorL.Spring.Summer.Autumn	Pseudochondrostoma willkommii	Small		HSC	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEKL	Pseudochondrostoma.willkommii.HSC.Small.EKorL.Autumn.Winter.Spring	Pseudochondrostoma willkommii	Small		HSC	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA
ABEKR	Salariopsis.fluviatilis.GAM.Large.Ebro.All	Salariopsis fluviatilis	Large	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	31	859	NA	28	206	653	3	0.903	0.76	0.663	0.832
ABEKU	Salariopsis.fluviatilis.HSC.Large.Ebro.All	Salariopsis fluviatilis	Large	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	31	862	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABELN	Salariopsis.fluviatilis.NNET.Large.Ebro.All	Salariopsis fluviatilis	Large	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	31	859	NA	31	166	693	0	1	0.807	0.807	0.903
ABELQ	Salariopsis.fluviatilis.RF.Large.Ebro.All	Salariopsis fluviatilis	Large	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	31	859	NA	31	166	693	0	1	0.807	0.807	0.903
ABELT	Salariopsis.fluviatilis.SVM.Large.Ebro.All	Salariopsis fluviatilis	Large	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	31	859	NA	28	169	690	3	0.903	0.803	0.706	0.853
ABEKS	Salariopsis.fluviatilis.GAM.Medium.Ebro.All	Salariopsis fluviatilis	Medium	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	69	821	NA	65	313	508	4	0.942	0.619	0.561	0.78
ABEKX	Salariopsis.fluviatilis.HSC.Medium.Ebro.All	Salariopsis fluviatilis	Medium	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	69	824	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABELO	Salariopsis.fluviatilis.NNET.Medium.Ebro.All	Salariopsis fluviatilis	Medium	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	69	821	NA	55	242	579	14	0.797	0.705	0.502	0.751
ABELR	Salariopsis.fluviatilis.RF.Medium.Ebro.All	Salariopsis fluviatilis	Medium	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	69	821	NA	55	242	579	14	0.797	0.705	0.502	0.751
ABELU	Salariopsis.fluviatilis.SVM.Medium.Ebro.All	Salariopsis fluviatilis	Medium	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	69	821	NA	52	197	624	17	0.754	0.76	0.514	0.757
ABEKT	Salariopsis.fluviatilis.GAM.Small.Ebro.All	Salariopsis fluviatilis	Small	Ebro	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	59	831	NA	51	208	623	8	0.864	0.75	0.614	0.807
ABEKY	Salariopsis.fluviatilis.HSC.Small.Ebro.All	Salariopsis fluviatilis	Small	Ebro	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	59	834	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABELP	Salariopsis.fluviatilis.NNET.Small.Ebro.All	Salariopsis fluviatilis	Small	Ebro	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	59	831	NA	54	305	526	5	0.915	0.633	0.548	0.774
ABELS	Salariopsis.fluviatilis.RF.Small.Ebro.All	Salariopsis fluviatilis	Small	Ebro	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	59	831	NA	54	305	526	5	0.915	0.633	0.548	0.774
ABELV	Salariopsis.fluviatilis.SVM.Small.Ebro.All	Salariopsis fluviatilis	Small	Ebro	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	59	831	NA	50	137	694	9	0.847	0.835	0.683	0.841
ABEKO	Salariopsis.fluviatilis.FRBS.Large.EKorL.Spring.Summer.Autumn	Salariopsis fluviatilis	Large		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABEKN	Salariopsis.fluviatilis.FRBS.Large.EKorL.Autumn.Winter.Spring	Salariopsis fluviatilis	Large		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABEKW	Salariopsis.fluviatilis.HSC.Large.EKorL.Spring.Summer.Autumn	Salariopsis fluviatilis	Large		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABEKV	Salariopsis.fluviatilis.HSC.Large.EKorL.Autumn.Winter.Spring	Salariopsis fluviatilis	Large		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABEKQ	Salariopsis.fluviatilis.FRBS.Small.EKorL.Spring.Summer.Autumn	Salariopsis fluviatilis	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABEKP	Salariopsis.fluviatilis.FRBS.Small.EKorL.Autumn.Winter.Spring	Salariopsis fluviatilis	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABELM	Salariopsis.fluviatilis.HSC.Small.EKorL.Spring.Summer.Autumn	Salariopsis fluviatilis	Small		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABEKZ	Salariopsis.fluviatilis.HSC.Small.EKorL.Autumn.Winter.Spring	Salariopsis fluviatilis	Small		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
ABELW	Salmo.salar.HSC.Small.EKorL.All	Salmo salar	Small		HSC	TRUE		"Winter; Spring; Summer; Autumn"	Literature review	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	NA
ABELX	Salmo.salar.HSC.Spawning.EKorL.Autumn.Winter.Spring	Salmo salar	Spawning		HSC	TRUE	"Autumn; Winter"	"Autumn; Winter; Spring"	Literature review	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
ABELY	Salmo.salar.HSC.Very.small.EKorL.Spring.Summer.Autumn	Salmo salar	Very small		HSC	TRUE		"Spring; Summer; Autumn"	Literature review	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA
ABELZ	Salmo.trutta.GAM.Large.Curueno.All	Salmo trutta	Large	Curueño (Douro)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	896	NA	24	191	705	0	1	0.787	0.787	0.893
ABEMQ	Salmo.trutta.HSC.Large.Curueno.All	Salmo trutta	Large	Curueño (Douro)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	896	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEMV	Salmo.trutta.NNET.Large.Curueno.All	Salmo trutta	Large	Curueño (Douro)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	896	NA	24	106	790	0	1	0.882	0.882	0.941
ABEMZ	Salmo.trutta.RF.Large.Curueno.All	Salmo trutta	Large	Curueño (Douro)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	896	NA	24	106	790	0	1	0.882	0.882	0.941
ABENR	Salmo.trutta.SVM.Large.Curueno.All	Salmo trutta	Large	Curueño (Douro)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	24	896	NA	22	157	739	2	0.917	0.825	0.741	0.871
ABEMN	Salmo.trutta.GAM.Medium.Curueno.All	Salmo trutta	Medium	Curueño (Douro)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	81	839	NA	75	253	586	6	0.926	0.698	0.624	0.812
ABEMR	Salmo.trutta.HSC.Medium.Curueno.All	Salmo trutta	Medium	Curueño (Douro)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	81	839	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEMW	Salmo.trutta.NNET.Medium.Curueno.All	Salmo trutta	Medium	Curueño (Douro)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	81	839	NA	75	197	642	6	0.926	0.765	0.691	0.846
ABENO	Salmo.trutta.RF.Medium.Curueno.All	Salmo trutta	Medium	Curueño (Douro)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	81	839	NA	75	197	642	6	0.926	0.765	0.691	0.846
ABENS	Salmo.trutta.SVM.Medium.Curueno.All	Salmo trutta	Medium	Curueño (Douro)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	81	839	NA	68	200	639	13	0.84	0.762	0.601	0.801
ABEMO	Salmo.trutta.GAM.Small.Curueno.All	Salmo trutta	Small	Curueño (Douro)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	385	535	NA	278	200	335	107	0.722	0.626	0.348	0.674
ABEMS	Salmo.trutta.HSC.Small.Curueno.All	Salmo trutta	Small	Curueño (Douro)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	385	535	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEMX	Salmo.trutta.NNET.Small.Curueno.All	Salmo trutta	Small	Curueño (Douro)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	385	535	NA	286	211	324	99	0.743	0.606	0.348	0.674
ABENP	Salmo.trutta.RF.Small.Curueno.All	Salmo trutta	Small	Curueño (Douro)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	385	535	NA	286	211	324	99	0.743	0.606	0.348	0.674
ABENT	Salmo.trutta.SVM.Small.Curueno.All	Salmo trutta	Small	Curueño (Douro)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	385	535	NA	262	179	356	123	0.681	0.665	0.346	0.673
ABEMP	Salmo.trutta.GAM.Small.Ebro.All	Salmo trutta	Small	Ebro	GAM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	38	852	NA	38	327	525	0	1	0.616	0.616	0.808
ABEMT	Salmo.trutta.HSC.Small.Ebro.All	Salmo trutta	Small	Ebro	HSC	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	38	855	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEMY	Salmo.trutta.NNET.Small.Ebro.All	Salmo trutta	Small	Ebro	NNET	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	38	852	NA	38	365	487	0	1	0.572	0.572	0.786
ABENQ	Salmo.trutta.RF.Small.Ebro.All	Salmo trutta	Small	Ebro	RF	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	38	852	NA	38	365	487	0	1	0.572	0.572	0.786
ABENU	Salmo.trutta.SVM.Small.Ebro.All	Salmo trutta	Small	Ebro	SVM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	38	852	NA	33	254	598	5	0.868	0.702	0.57	0.785
ABEMU	Salmo.trutta.HSC.Spawning.EKorL.Autumn.Winter.Spring	Salmo trutta	Spawning	Jucar River Basin District	HSC	TRUE	"Autumn; Winter"	"Autumn; Winter; Spring"	Literature review	331	331	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABENW	Squalius.alburnoides.FRBS.Large.EKorL.Spring.Summer.Autumn	Squalius alburnoides	Large		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABENV	Squalius.alburnoides.FRBS.Large.EKorL.Autumn.Winter.Spring	Squalius alburnoides	Large		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABEPR	Squalius.alburnoides.HSC.Large.EKorL.Spring.Summer.Autumn	Squalius alburnoides	Large		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABEPQ	Squalius.alburnoides.HSC.Large.EKorL.Autumn.Winter.Spring	Squalius alburnoides	Large		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABENY	Squalius.alburnoides.FRBS.Small.EKorL.Spring.Summer.Autumn	Squalius alburnoides	Small		FRBS	TRUE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABENX	Squalius.alburnoides.FRBS.Small.EKorL.Autumn.Winter.Spring	Squalius alburnoides	Small		FRBS	TRUE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABEPZ	Squalius.alburnoides.HSC.Small.EKorL.Spring.Summer.Autumn	Squalius alburnoides	Small		HSC	FALSE		"Spring; Summer; Autumn"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABEPY	Squalius.alburnoides.HSC.Small.EKorL.Autumn.Winter.Spring	Squalius alburnoides	Small		HSC	FALSE		"Autumn; Winter; Spring"	Expert knowledge	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
ABENZ	Squalius.alburnoides.GAM.Large.Estena.All	Squalius alburnoides	Large	Estena (Guadiana)	GAM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	195	1072	NA	167	568	504	28	0.856	0.47	0.327	0.663
ABEPS	Squalius.alburnoides.HSC.Large.Estena.All	Squalius alburnoides	Large	Estena (Guadiana)	HSC	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	196	1081	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEQX	Squalius.alburnoides.NNET.Large.Estena.All	Squalius alburnoides	Large	Estena (Guadiana)	NNET	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	195	1072	NA	142	351	721	53	0.728	0.673	0.401	0.7
ABESU	Squalius.alburnoides.RF.Large.Estena.All	Squalius alburnoides	Large	Estena (Guadiana)	RF	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	195	1072	NA	142	351	721	53	0.728	0.673	0.401	0.7
ABEUV	Squalius.alburnoides.SVM.Large.Estena.All	Squalius alburnoides	Large	Estena (Guadiana)	SVM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	195	1072	NA	138	320	752	57	0.708	0.701	0.409	0.705
ABEOR	Squalius.alburnoides.GAM.Medium.Estena.All	Squalius alburnoides	Medium	Estena (Guadiana)	GAM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	442	825	NA	341	341	484	101	0.771	0.587	0.358	0.679
ABEPV	Squalius.alburnoides.HSC.Medium.Estena.All	Squalius alburnoides	Medium	Estena (Guadiana)	HSC	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	445	832	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABERS	Squalius.alburnoides.NNET.Medium.Estena.All	Squalius alburnoides	Medium	Estena (Guadiana)	NNET	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	442	825	NA	327	305	520	115	0.74	0.63	0.37	0.685
ABESX	Squalius.alburnoides.RF.Medium.Estena.All	Squalius alburnoides	Medium	Estena (Guadiana)	RF	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	442	825	NA	327	305	520	115	0.74	0.63	0.37	0.685
ABEUY	Squalius.alburnoides.SVM.Medium.Estena.All	Squalius alburnoides	Medium	Estena (Guadiana)	SVM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	442	825	NA	307	321	504	135	0.695	0.611	0.305	0.653
ABEOU	Squalius.alburnoides.GAM.Small.Estena.All	Squalius alburnoides	Small	Estena (Guadiana)	GAM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	395	872	NA	318	422	450	77	0.805	0.516	0.321	0.661
ABEQR	Squalius.alburnoides.HSC.Small.Estena.All	Squalius alburnoides	Small	Estena (Guadiana)	HSC	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	398	879	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABERV	Squalius.alburnoides.NNET.Small.Estena.All	Squalius alburnoides	Small	Estena (Guadiana)	NNET	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	395	872	NA	312	373	499	83	0.79	0.572	0.362	0.681
ABETU	Squalius.alburnoides.RF.Small.Estena.All	Squalius alburnoides	Small	Estena (Guadiana)	RF	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	395	872	NA	312	373	499	83	0.79	0.572	0.362	0.681
ABEVX	Squalius.alburnoides.SVM.Small.Estena.All	Squalius alburnoides	Small	Estena (Guadiana)	SVM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	395	872	NA	287	378	494	108	0.727	0.567	0.293	0.647
ABEOX	Squalius.alburnoides.GAM.Very.small.Estena.All	Squalius alburnoides	Very small	Estena (Guadiana)	GAM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	26	1241	NA	26	555	686	0	1	0.553	0.553	0.776
ABEQU	Squalius.alburnoides.HSC.Very.small.Estena.All	Squalius alburnoides	Very small	Estena (Guadiana)	HSC	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	26	1251	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABERY	Squalius.alburnoides.NNET.Very.small.Estena.All	Squalius alburnoides	Very small	Estena (Guadiana)	NNET	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	26	1241	NA	26	415	826	0	1	0.666	0.666	0.833
ABETX	Squalius.alburnoides.RF.Very.small.Estena.All	Squalius alburnoides	Very small	Estena (Guadiana)	RF	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	26	1241	NA	26	415	826	0	1	0.666	0.666	0.833
ABEWX	Squalius.alburnoides.SVM.Very.small.Estena.All	Squalius alburnoides	Very small	Estena (Guadiana)	SVM	FALSE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	26	1241	NA	24	540	701	2	0.923	0.565	0.488	0.744
ABEOP	Squalius.alburnoides.GAM.Large.Estena.and.Yeguas.All	Squalius alburnoides	Large	Estena (Guadiana) + Yeguas (Guadalquivir)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	283	1710	NA	260	980	730	23	0.919	0.427	0.346	0.673
ABEPT	Squalius.alburnoides.HSC.Large.Estena.and.Yeguas.All	Squalius alburnoides	Large	Estena (Guadiana) + Yeguas (Guadalquivir)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	284	1720	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABEQY	Squalius.alburnoides.NNET.Large.Estena.and.Yeguas.All	Squalius alburnoides	Large	Estena (Guadiana) + Yeguas (Guadalquivir)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	283	1710	NA	233	786	924	50	0.823	0.54	0.364	0.682
ABESV	Squalius.alburnoides.RF.Large.Estena.and.Yeguas.All	Squalius alburnoides	Large	Estena (Guadiana) + Yeguas (Guadalquivir)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	283	1710	NA	233	786	924	50	0.823	0.54	0.364	0.682
ABEUW	Squalius.alburnoides.SVM.Large.Estena.and.Yeguas.All	Squalius alburnoides	Large	Estena (Guadiana) + Yeguas (Guadalquivir)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	283	1710	NA	196	606	1104	87	0.693	0.646	0.338	0.669
ABEOS	Squalius.alburnoides.GAM.Medium.Estena.and.Yeguas.All	Squalius alburnoides	Medium	Estena (Guadiana) + Yeguas (Guadalquivir)	GAM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	590	1403	NA	452	558	845	138	0.766	0.602	0.368	0.684
ABEPW	Squalius.alburnoides.HSC.Medium.Estena.and.Yeguas.All	Squalius alburnoides	Medium	Estena (Guadiana) + Yeguas (Guadalquivir)	HSC	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	593	1411	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABERT	Squalius.alburnoides.NNET.Medium.Estena.and.Yeguas.All	Squalius alburnoides	Medium	Estena (Guadiana) + Yeguas (Guadalquivir)	NNET	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	590	1403	NA	456	517	886	134	0.773	0.632	0.404	0.702
ABESY	Squalius.alburnoides.RF.Medium.Estena.and.Yeguas.All	Squalius alburnoides	Medium	Estena (Guadiana) + Yeguas (Guadalquivir)	RF	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	590	1403	NA	456	517	886	134	0.773	0.632	0.404	0.702
ABEUZ	Squalius.alburnoides.SVM.Medium.Estena.and.Yeguas.All	Squalius alburnoides	Medium	Estena (Guadiana) + Yeguas (Guadalquivir)	SVM	TRUE	Summer	"Winter; Spring; Summer; Autumn"	Field survey	590	1403	NA	405	502	901	185	0.686	0.642	0.329	0.664
